GR,FedavgPGD,FedavgPSGD,Fedprox,Feddr,Fedfw_cel,Fedfw_tel
784,0.18680640906095505,0.09541626200079918,0.39899433553218844,0.10351810529828072,0.47534386813640594,0.49204149544239045
785,0.18674833923578263,0.09541324153542519,0.3988519966602325,0.10358527526259423,0.47531746327877045,0.4920512199401855
786,0.1866903617978096,0.09541023150086403,0.3987099647521973,0.10024687275290489,0.4752911180257797,0.4920609682798386
787,0.18663248121738435,0.09540722817182541,0.39856818616390227,0.1008810468018055,0.47526484727859497,0.49207072854042055
788,0.18657468408346176,0.09540423676371575,0.3984267055988312,0.10379278212785721,0.4752386897802353,0.49208046197891236
789,0.18651698529720306,0.09540124386548995,0.3982854843139648,0.09849634394049644,0.4752125680446625,0.4920902341604233
790,0.18645938932895662,0.09539827629923821,0.3981445610523224,0.10289240702986717,0.4751866042613983,0.492099916934967
791,0.18640187233686448,0.09539530277252198,0.39800389409065245,0.10031159147620201,0.47516068518161775,0.4921096205711365
792,0.18634445518255233,0.09539234414696693,0.39786351919174195,0.0997465580701828,0.47513481676578523,0.49211929738521576
793,0.186287122964859,0.09538939222693443,0.39772340655326843,0.09975171759724617,0.47510906755924226,0.4921289414167404
794,0.18622988015413283,0.09538644924759865,0.3975835800170898,0.09966320395469666,0.4750833660364151,0.4921386182308197
795,0.18617273569107057,0.09538351893424987,0.39744400680065156,0.10821892470121383,0.4750577598810196,0.4921482354402542
796,0.18611568212509155,0.09538059160113335,0.3973047316074371,0.10176997482776642,0.4750322014093399,0.492157843708992
797,0.1860587164759636,0.09537767395377159,0.3971657156944275,0.09917743057012558,0.4750067412853241,0.4921674609184265
798,0.18600183874368667,0.09537476152181626,0.3970269799232483,0.10163139551877975,0.4749813586473465,0.4921770364046097
799,0.18594505190849303,0.09537186697125435,0.3968884855508804,0.10017627328634263,0.47495603561401367,0.492186626791954
800,0.18588835895061492,0.09536896795034408,0.39675029516220095,0.10497697740793228,0.4749308168888092,0.49219619631767275
801,0.18583175390958787,0.09536608383059501,0.3966123700141907,0.1013715147972107,0.4749056547880173,0.4922057330608368
802,0.18577523529529572,0.09536321237683296,0.396474689245224,0.09786572605371475,0.47488057911396026,0.49221526086330414
803,0.18571880906820298,0.09536034017801284,0.3963372677564621,0.10451291799545288,0.47485554218292236,0.4922247797250748
804,0.18566246777772905,0.09535747841000557,0.39620013236999513,0.10063103884458542,0.4748306334018707,0.4922342985868454
805,0.18560622185468673,0.09535462632775307,0.39606326818466187,0.10091151148080826,0.4748057544231415,0.4922438025474548
806,0.18555006235837937,0.09535178616642952,0.39592666625976564,0.10270022079348565,0.47478099167346954,0.4922532856464386
807,0.18549398481845855,0.09534894451498985,0.39579030871391296,0.10049656853079796,0.4747562766075134,0.49226275384426116
808,0.18543798774480819,0.0953461192548275,0.3956542283296585,0.1034712128341198,0.47473161816596987,0.49227219820022583
809,0.18538209348917006,0.09534329921007156,0.39551840126514437,0.09842930436134338,0.47470706403255464,0.4922816246747971
810,0.18532627820968628,0.09534048587083817,0.3953828364610672,0.10265360549092292,0.47468258142471315,0.4922910749912262
811,0.1852705582976341,0.09533768147230148,0.39524754583835603,0.09768063127994538,0.4746581643819809,0.49230046272277833
812,0.18521491289138795,0.0953348845243454,0.3951124846935272,0.0990105003118515,0.4746338278055191,0.492309907078743
813,0.1851593628525734,0.0953320913016796,0.39497770071029664,0.1021222285926342,0.47460954785346987,0.49231930673122404
814,0.18510389924049378,0.09532931447029114,0.39484315514564516,0.09875286370515823,0.4745853513479233,0.4923286586999893
815,0.1850485160946846,0.09532654359936714,0.3947088956832886,0.10086653754115105,0.47456124126911164,0.4923380136489868
816,0.18499321937561036,0.09532377049326897,0.39457487761974336,0.10028978586196899,0.4745371907949448,0.492347326874733
817,0.1849380165338516,0.09532100930809975,0.3944411128759384,0.10153993219137192,0.47451319396495817,0.4923567086458206
