GR FedavgPGD FedavgPSGD Fedprox Feddr Fedfw_cel Fedfw_tel
24 0.7668845883886494 0.9299608944149202 0.6277368896019253 0.34846284969417424 0.6554878171061868 0.739418429760353
25 0.7761656472475683 0.9305424646545675 0.6356983856412313 0.3092088639326181 0.6559851599318158 0.7118941141080919
26 0.7808703499448512 0.9312062568936128 0.6431625388549083 0.3084969417427053 0.6800982653163542 0.7519783415221097
27 0.7890063170560514 0.9317858217186403 0.6502135766569739 0.35148300411109995 0.6789692168855911 0.7264353755138875
28 0.7892188910057155 0.9323814298606237 0.6568835856813396 0.36595608141983355 0.6913747117216484 0.7624325679334203
29 0.7964965406597815 0.9329609946856513 0.6631886092449614 0.3683324977439085 0.6890965607139277 0.7400200541461948
30 0.7990333901534143 0.9334683645843779 0.668881981349644 0.3858377619572847 0.6919663090343928 0.7714388849894716
31 0.8052241050837262 0.9340639727263612 0.6742705304321668 0.43352050536448405 0.7045863832347337 0.7524857114208362
32 0.8063972726361175 0.9346174671613356 0.6795026571743707 0.4042394465055651 0.70661586282964 0.779558808783716
33 0.8127785019552792 0.9351930211571242 0.684502155820716 0.44072194926301017 0.6979424446004211 0.7636759249974931
34 0.8145833751128047 0.9357745913967712 0.689178782713326 0.45023563621778806 0.7166950767071092 0.7870811190213576
35 0.82011430863331 0.936328085831746 0.6936568735586082 0.4589551789832548 0.72091246365186 0.7742043517497242
36 0.8217427053043217 0.9368454828035695 0.6980647748922089 0.4762037501253385 0.7361315551990373 0.7945071693572647
37 0.8271412814599419 0.9373849393362077 0.7022179885691368 0.49060663792239045 0.7216685049634012 0.7835716434372806
38 0.8287897322771484 0.9378903038203148 0.706068384638524 0.49923393161536145 0.7354136167652661 0.8009926802366388
39 0.8339516695076707 0.9383114408904042 0.7097703800260704 0.49679735285270227 0.736444399879675 0.7921307530331896
40 0.8354818008623284 0.9387887295698386 0.7133620776095457 0.5408322470670811 0.7257555399578863 0.8068845883886493
41 0.8400922490724957 0.9392218991276448 0.7168655369497643 0.5048531033791237 0.7471452922891807 0.7995086734182293
42 0.8416604833049233 0.9396550686854507 0.7202847688759652 0.532467662689261 0.7456492529830542 0.8122831645442694
43 0.8457735886894616 0.9400621678532037 0.7235556001203249 0.5002065577058057 0.7537832146796348 0.8060623683946657
44 0.8473358066780307 0.9404732778501954 0.7266138574150206 0.5623302917878271 0.7543888498947158 0.8172967010929509
45 0.8510037100170461 0.9408141983355058 0.7295417627594506 0.5403589692168855 0.7513907550386042 0.8122871753735085
46 0.8523473378120927 0.9411771783816306 0.7324877168354558 0.5985039606938735 0.7424967412012434 0.8217547377920384
47 0.8554697683746115 0.9415381530131356 0.7350847287676727 0.5968635315351448 0.7623984758848892 0.8177318760653766
48 0.8566730171462951 0.9419131655469769 0.737780006016244 0.5587666700090244 0.7556382232026471 0.826102476687055
49 0.8594665597112202 0.942177880276747 0.7402085631204252 0.6142945954076005 0.7698144991476988 0.8227895317356863
50 0.8604030883385139 0.9424887195427653 0.7426812393462348 0.6246345131856011 0.762554898225208 0.8301253384137169
51 0.8628797753935625 0.9428156021257396 0.7449674120124335 0.6099167752932919 0.7660162438584177 0.8274922290183497
52 0.8638524014840069 0.9430943547578462 0.7473277850195528 0.585597112202948 0.7626531635415623 0.8338935124837059
53 0.8658778702496741 0.9433430261706608 0.7494695678331496 0.6309254988468865 0.7673017146294997 0.8319221899127645
54 0.866611852000401 0.9436217788027674 0.7515692369397373 0.6196530632708313 0.760224606437381 0.8373368093853404
55 0.8684929309134664 0.9438784718740599 0.7536508573147498 0.6520224606437381 0.7795487817106187 0.8358247267622583
56 0.8693592700290786 0.9441512082623083 0.7557244560312846 0.6459821518098867 0.7672495738493934 0.8401022761455931
57 0.8708833851398777 0.9443818309435474 0.7577780006016244 0.5741702597011933 0.7815120826230824 0.8391737691767774
58 0.871763762157826 0.9446665998195127 0.7597072094655569 0.6298205153915573 0.7628476887596509 0.8426872555900932
59 0.8730853303920586 0.9449413416223804 0.7614900230622681 0.6157003910558508 0.7817386944750827 0.8420395066680035
60 0.8738754637521307 0.945220094254487 0.7635034593402186 0.6431264413917578 0.771813897523313 0.8450817206457435
